update_id,price_fp,qty_fp
80857163021,1203437288,1037101726
80857163021,1203435073,0
80857163021,1200986988,0
80857163021,1203439008,956016770
80857163021,1203446118,0
80857163021,1203447505,1022041155
80857163021,1203492800,0
80857163021,1203493196,1058164347
80857163041,1203438150,1084012878
80857163041,1203327053,0
80857163041,1202212480,953267991
80857163041,1203438152,1060494702
80857163041,1203438153,981668463
80857163041,1203438982,1025877098
80857163041,1203438986,1004780755
80857163041,1203439007,0
80857163041,1203439008,0
80857163041,1203439072,1033934188
80857163041,1203439082,947628162
80857163041,1203439378,1050004077
80857163041,1203556991,0
80857163138,1203438150,1086968016
80857163138,1203438136,1033861710
80857163138,1203437937,950519212
80857163138,1203437893,0
80857163138,1203437827,950519212
80857163138,1203437750,0
80857163138,1203437748,1051572746
80857163138,1203437716,950519212
80857163138,1203437606,950519212
80857163138,1203437496,957533431
80857163138,1203437490,1033861710
80857163138,1203437469,1001065609
80857163138,1203437414,0
80857163138,1203437299,0
80857163138,1203437268,1001065609
80857163138,1203437230,947628162
80857163138,1203437184,0
80857163138,1203437069,0
80857163138,1203436954,0
80857163138,1203436952,0
80857163138,1203436901,0
80857163138,1203436497,1075030692
80857163138,1203435777,1052816274
80857163138,1203435008,1007542956
80857163138,1203433852,0
80857163138,1203433082,0
80857163138,1203432838,0
80857163138,1203432265,1027592400
